date,price,PRCP_CI,TAVG_CI,TMAX_CI,TMIN_CI,PRCP_GH,TAVG_GH,TMAX_GH,TMIN_GH,usd_open
1994-10-09,1441.174,784.3000000000001,25.694736842105264,30.044827586206896,21.968115942028984,8.399999999999999,26.642857142857142,31.46578257803512,23.1,87.9
1994-10-16,1413.432,337.7,25.860674157303368,29.95671641791045,21.651219512195123,27.9,25.82857142857143,27.1,22.775,86.82
1994-10-23,1455.436,39.1,25.13846153846153,30.0,22.066666666666663,0.0,27.933333333333334,31.46578257803512,23.3,85.67
1994-10-30,1474.974,317.3,26.384375,30.374137931034483,21.385185185185183,1.0,26.816666666666663,29.633333333333336,23.525,86.14
1994-11-06,1462.408,175.7,26.35168539325843,30.883529411764705,21.772131147540986,4.1,27.96,30.8,22.9,86.33
1994-11-13,1428.192,35.8,27.172463768115943,31.62903225806452,21.089285714285715,0.0,28.67142857142857,34.25,23.5,87.17
1994-11-20,1445.166,95.9,27.076811594202898,31.74179104477612,21.37941176470588,0.0,28.857142857142858,31.7,24.25,88.37
1994-11-27,1457.804,66.5,26.99493670886076,32.1859375,21.105555555555554,0.0,28.52857142857143,32.166666666666664,24.7,88.81
1994-12-04,1372.096,39.9,27.208163265306123,32.17912087912088,20.981818181818184,0.0,27.2,31.46578257803512,24.4,89.54
1994-12-11,1374.68,0.0,25.448809523809523,30.99512195121951,18.901886792452828,0.0,27.497739924293032,31.46578257803512,24.537768870706177,89.62
1994-12-18,1379.236,0.0,25.96388888888889,31.82428571428571,19.42549019607843,0.0,27.497739924293032,31.46578257803512,24.537768870706177,89.7
1994-12-25,1435.466,0.0,27.202666666666666,32.46774193548387,18.8,0.0,27.497739924293032,31.46578257803512,24.537768870706177,89.83
1995-01-01,1426.9075,0.0,27.78421052631579,33.15068493150685,20.542857142857144,0.0,27.497739924293032,31.46578257803512,24.537768870706177,88.84
1995-01-08,1444.6675,47.0,26.94782608695652,32.32368421052632,19.80454545454545,0.0,29.3,31.46578257803512,24.537768870706177,89.53
1995-01-15,1461.858,0.0,25.32878787878788,31.98,16.133333333333333,0.0,27.497739924293032,31.46578257803512,24.537768870706177,88.15
